Buyer ,Style,Color,Item,Rejection,Rejection
BERSHKA,GALI0885/236,433-LIGTHJEAN,DLP,,0
BERSHKA,GALI0885/236,433-LIGTHJEAN,DLP,,0
BERSHKA,GALI0885/236,800-BLACK,DLP,,0
BERSHKA,GALI0885/236,800-BLACK,DLP,,0
BERSHKA,GALI0885/236,800-BLACK,DLP,,0
BERSHKA,GALI0885/236,800-BLACK,DLP,,0
BERSHKA,TULIP- BSK,428-DELA BLUE,DLP,,0
CAMEL ACTIVE,488035 9D22,48,DLP,,0
CAMEL ACTIVE,488035 9D22,48,DLP,,0
CAMEL ACTIVE,488255 9829,45,DLP,,0
CAMEL ACTIVE,488325 9D30,7,DLP,,0
CAMEL ACTIVE,488325 9D30,7,DLP,,0
CAMEL ACTIVE,488R53-9D05,47,DLP,,0
CAMEL ACTIVE,488R53-9D05,47,DLP,,0
CAMEL ACTIVE,488R53-9D22,82,DLP,,0
CAMEL ACTIVE,488R54-9D91,41,DLP,,0
CAMEL ACTIVE,488R54-9D91,41,DLP,,0
CAMEL ACTIVE,488S04-9D08,7,DLP,,0
CCP,FW26PB-1062,BLEACH,DLP,,0
CCP,FW26PB-1062,STONE MEDIO,DLP,,0
COTTON ON,2054850 JJA26,BORDERLINE BLUE,DLP,,0
COTTON ON,2061552 JJA26,BORDERLINE BLUE,DSP,,0
COTTON ON,2061552 JJA26,DRIFT BLACK,DSP,,0
COTTON ON,2061552 JJA26,HARBOUR BLUE,DSP,,0
COTTON ON,2061552 JJA26,SALTSTONE BLUE,DSP,,0
COTTON ON,2061552 JJA26,WHITEHAVEN BLUE,DSP,,0
COTTON ON,7347230 JJA,AIRLIE LT BLU/SPLC,DLP,,0
COTTON ON,7347230 JJA,HAMLTN BRWN/LEOPRD,DYLP,,0
COTTON ON,7348621 JJA,AIRLIE LT BLUE,DLP,,0
COTTON ON,7348621 JJA,BLUEHAVEN MID/SPOT,DLP,,0
COTTON ON,7348621 JJA,BLUHAV MD/D F SPLC,DLP,,0
COTTON ON,7348621 JJA,HAYMAN ECRU/BOW,DYKTLP,,0
COTTON ON,7348621 JJA,PRTC DK BLU/BTRFLY,DLP,,0
COTTON ON,7348623 JJA,AIRLIE LT BLUE,DLP,,0
COTTON ON,7348623 JJA,BLUHAVEN MID BLU,DLP,,0
COTTON ON,7348623 JJA,LT MANLY GREY,DKTLP,,0
COTTON ON,7348627 JJA,AIRLIE LT BLUE,DKTLP,,0
COTTON ON,7348627 JJA,BLU HAVN MID/SPOT,DKTLP,,0
COTTON ON,7348627 JJA,HAMILTON BROWN,DKTLP,,0
COTTON ON,7348627 JJA,PORTSEA DK BLU,DKTLP,,0
COTTON ON,7348886 JJA,BLUHAVN MD/PKT TRM,DYLP,,0
DIESEL,J00801-R3,K01,DLP,,0
DIESEL,J00981-R3,K01,DLP,,0
DIESEL,J01000-R3,K141,DLP,,0
DIESEL,J01000-R3,K900,DLP,,0
DIESEL,J02341-R3,K141,DLP,,0
DIESEL,J02341-R3,K80U,DLP,,0
DIESEL,J02341-R3,K900,DLP,,0
DIESEL,J02959-R3,K01,DLP,,0
DIESEL,J02960-R3,K01,DLP,,0
G-STAR,51003C052 A802,VINTAGE AZURE,DLP,,0
JACK & JONES,12292113,C220,DLP,,0
JACK & JONES,12292113,C220,DLP,,0
JACK & JONES,12245644,SQ 270,DLP,,0
JACK & JONES,12250230,SQ 737,DLP,,0
JACK & JONES,12252645,SQ-735,DLP,,0
JACK & JONES,12279854,SQ 852,DLP,,0
JACK & JONES,12279857,SQ 854,DLP,,0
JACK & JONES,12282669,SQ 223,DLP,,0
JACK & JONES,12284341,SQ 330,DLP,,0
JACK & JONES,12293552,SQ 330,DLP,,0
JACK & JONES,12294441,SQ 349,DLP,,0
JACK & JONES,12297369,SQ 201,DLP,,0
JACK & JONES,12297374,SQ 203,DLP,,0
JACK & JONES,12297377,SQ 204,DLP,,0
JACK & JONES,12278115-N5,SQ 426,DLP,,0
JACK & JONES,12283871-N5,SQ 071,DLP,,0
JACK & JONES,12243592,SQ 223,DLP,,0
JACK & JONES,12250230,SQ 737,DLP,,0
JACK & JONES,12250231,SQ 738,DLP,,0
JACK & JONES,12252647,SQ 738,DLP,,0
JACK & JONES,12252647,SQ 738,DLP,,0
JACK & JONES,12259055,MF 260,DLP,,0
JACK & JONES,12259055,MF 260,DLP,,0
JACK & JONES,12262396,SQ 734,DLP,,0
JACK & JONES,12267255,SQ 734,DLP,,0
JACK & JONES,12269484,SQ 060,DLP,,0
JACK & JONES,12272658,SQ 060,DLP,,0
JACK & JONES,12272662,SQ 061,DLP,,0
JACK & JONES,12273224,SQ 888 (GREY),DSP,,0
JACK & JONES,12273224,SQ 888 (LT BL),DSP,,0
JACK & JONES,12276482,SQ 260,DLP,,0
JACK & JONES,12276482,SQ 260,DLP,,0
JACK & JONES,12276482,SQ 260,DLP,,0
JACK & JONES,12278097,SQ 067,DLP,,0
JACK & JONES,12278115,SQ 426,DLP,,0
JACK & JONES,12279857,SQ 854,DLP,,0
JACK & JONES,12279857,SQ 854,DLP,,0
JACK & JONES,12279858,SQ 853,DLP,,0
JACK & JONES,12282669,SQ 223,DLP,,0
JACK & JONES,12282669,SQ 223,DLP,,0
JACK & JONES,12283871,SQ 071 (OPT 2),DLP,,0
JACK & JONES,12284345,SQ 902,DLP,,0
JACK & JONES,12287717,SQ 067,DLP,,0
JACK & JONES,12287718,SQ 067,DLP,,0
JACK & JONES,12287718,SQ 067,DLP,,0
JACK & JONES,12293552,SQ 330,DLP,,0
JACK & JONES,12293552,SQ 330,DLP,,0
JACK & JONES,12300759,SQ 377,DLP,,0
JACK & JONES,12300759,SQ 377,DLP,,0
JACK & JONES,12300759,SQ 377,DLP,,0
JACK & JONES,12300816,SQ 351,DLP,,0
JACK & JONES,12300816,SQ 351,DLP,,0
JACK & JONES,12300816,SQ 351,DLP,,0
JACK & JONES,12300816,SQ 351,DLP,,0
JACK & JONES,12300816,SQ 351,DLP,,0
JACK & JONES,12300818,SQ 063,DLP,,0
JACK & JONES,12300818,SQ 063,DLP,,0
JACK & JONES,12300818,SQ 063,DLP,,0
JACK & JONES,12300819,SQ-380,DLP,,0
JACK & JONES,12300819,SQ-380,DLP,,0
JACK & JONES,12300819,SQ-380,DLP,,0
JACK & JONES,12300821,SQ 382,DLP,,0
JACK & JONES,12300821,SQ 382,DLP,,0
JACK & JONES,12300823,SQ 752,DLP,,0
JACK & JONES,12300823,SQ 752,DLP,,0
JACK & JONES,12300824,SQ 753,DLP,,0
JACK & JONES,12300824,SQ 753,DLP,,0
JACK & JONES,12300825,SQ 754,DLP,,0
JACK & JONES,12300939,SQ 761,DLP,,0
JACK & JONES,12300939,SQ 761,DLP,,0
JACK & JONES,12300948,SQ 032,DLP,,0
JACK & JONES,12303793,SQ 351,DLP,,0
JACK & JONES,12303797,SQ 735,DLP,,0
JACK & JONES,12303799,SQ 737,DLP,,0
JACK & JONES,12307487,MF 772,DLP,,0
JACK & JONES,12307680,SQ 223,DLP,,0
JACK & JONES,12307680,SQ 260,DLP,,0
JACK & JONES,12307688,SQ 734,DSP,,0
JACK & JONES,12307723,SQ 223,DLP,,0
JACK & JONES,12307723,SQ 260,DLP,,0
JACK & JONES,12310288,SQ 851,DLP,,0
JACK & JONES,12310289,SQ 852,DLP,,0
JACK & JONES,12300584,R063,DLP,,0
JACK & JONES,12301173,BLACK,DLP,,0
